+1.000000, +1.000000, +1.000000, +1.000000, +1.000000, +1.000000
+1.999725, +1.997462, +1.975484, +1.782714, +0.804967, +0.000000
+1.999449, +1.994569, +1.946319, +1.494169, +0.542969, +0.000000
+1.999174, +1.991314, +1.914245, +1.333123, +0.411019, +0.000000
+1.998899, +1.987868, +1.867148, +1.217798, +0.339620, +0.000000
+1.998624, +1.984971, +1.825785, +1.128020, +0.288582, +0.000000
+1.998348, +1.981982, +1.788646, +1.056425, +0.251413, +0.000000
+1.998073, +1.979872, +1.752461, +0.996418, +0.225755, +0.000000
+1.997798, +1.977072, +1.719051, +0.941572, +0.201796, +0.000000
+1.997522, +1.973575, +1.688539, +0.898306, +0.185819, +0.000000
+1.997247, +1.970029, +1.660970, +0.858039, +0.169851, +0.000000
+1.996972, +1.966087, +1.636524, +0.825416, +0.158006, +0.000000
+1.996696, +1.961581, +1.612758, +0.794714, +0.146841, +0.000000
+1.996421, +1.956752, +1.590171, +0.767619, +0.137779, +0.000000
+1.996146, +1.951884, +1.568665, +0.742026, +0.129098, +0.000000
+1.995871, +1.947188, +1.548445, +0.719357, +0.122231, +0.000000
+1.995595, +1.942516, +1.529387, +0.697584, +0.115117, +0.000000
+1.995320, +1.937943, +1.511547, +0.678530, +0.109605, +0.000000
+1.995045, +1.933375, +1.494400, +0.659906, +0.103836, +0.000000
+1.994769, +1.928892, +1.478348, +0.643359, +0.099134, +0.000000
+1.994494, +1.924459, +1.463091, +0.627492, +0.094366, +0.000000
+1.994219, +1.919962, +1.448602, +0.613228, +0.090370, +0.000000
+1.993944, +1.915423, +1.434581, +0.599329, +0.086227, +0.000000
+1.993668, +1.910984, +1.420971, +0.586502, +0.082847, +0.000000
+1.993393, +1.906567, +1.407684, +0.573710, +0.079200, +0.000000
+1.993118, +1.902255, +1.395050, +0.562150, +0.076237, +0.000000
+1.992842, +1.898008, +1.382962, +0.550842, +0.073045, +0.000000
+1.992567, +1.893764, +1.371331, +0.540532, +0.070398, +0.000000
+1.992292, +1.889549, +1.359983, +0.530272, +0.067546, +0.000000
+1.992017, +1.885350, +1.348986, +0.520850, +0.065197, +0.000000
+1.991741, +1.881116, +1.338307, +0.511538, +0.062606, +0.000000
+1.991466, +1.876885, +1.327991, +0.503054, +0.060482, +0.000000
+1.991191, +1.872648, +1.317786, +0.494481, +0.058152, +0.000000
+1.990915, +1.868446, +1.307776, +0.486426, +0.056181, +0.000000
+1.990640, +1.864289, +1.297969, +0.478392, +0.054071, +0.000000
+1.990365, +1.860213, +1.288545, +0.470964, +0.052266, +0.000000
+1.990089, +1.856180, +1.279446, +0.463648, +0.050293, +0.000000
+1.989814, +1.852185, +1.270572, +0.456863, +0.048661, +0.000000
+1.989539, +1.848263, +1.261874, +0.449966, +0.046815, +0.000000
+1.989264, +1.844424, +1.253442, +0.443569, +0.045287, +0.000000
+1.988988, +1.840635, +1.245198, +0.437153, +0.043602, +0.000000
+1.988713, +1.836938, +1.237242, +0.431159, +0.042142, +0.000000
+1.988438, +1.833314, +1.229436, +0.425137, +0.040578, +0.000000
+1.988162, +1.829783, +1.221772, +0.419379, +0.039228, +0.000000
+1.987887, +1.826353, +1.214335, +0.413589, +0.037720, +0.000000
+1.987612, +1.822978, +1.207143, +0.408262, +0.036485, +0.000000
+1.987337, +1.819632, +1.200141, +0.402900, +0.035054, +0.000000
+1.987061, +1.816338, +1.193316, +0.397906, +0.033866, +0.000000
+1.986786, +1.813078, +1.186507, +0.392769, +0.032554, +0.000000
+1.986511, +1.809851, +1.179826, +0.387879, +0.031393, +0.000000
+1.986235, +1.806645, +1.173294, +0.383042, +0.030157, +0.000000
+1.985960, +1.803479, +1.166905, +0.378463, +0.029077, +0.000000
+1.985685, +1.800360, +1.160611, +0.373800, +0.027864, +0.000000
+1.985409, +1.797294, +1.154380, +0.369364, +0.026868, +0.000000
+1.985134, +1.794270, +1.148272, +0.364842, +0.025705, +0.000000
+1.984859, +1.791278, +1.142388, +0.360701, +0.024733, +0.000000
+1.984584, +1.788325, +1.136608, +0.356525, +0.023659, +0.000000
+1.984308, +1.785429, +1.130909, +0.352489, +0.022701, +0.000000
+1.984033, +1.782569, +1.125236, +0.348378, +0.021678, +0.000000
+1.983758, +1.779762, +1.119673, +0.344451, +0.020782, +0.000000
+1.983482, +1.777008, +1.114292, +0.340537, +0.019770, +0.000000
+1.983207, +1.774310, +1.109022, +0.336853, +0.018934, +0.000000
+1.982932, +1.771665, +1.103789, +0.333017, +0.017962, +0.000000
+1.982657, +1.769070, +1.098652, +0.329378, +0.017139, +0.000000
+1.982381, +1.766504, +1.093617, +0.325728, +0.016233, +0.000000
+1.982106, +1.763973, +1.088733, +0.322291, +0.015424, +0.000000
+1.981831, +1.761467, +1.083912, +0.318826, +0.014550, +0.000000
+1.981555, +1.758984, +1.079077, +0.315442, +0.013794, +0.000000
+1.981280, +1.756526, +1.074283, +0.311963, +0.012926, +0.000000
+1.981005, +1.754093, +1.069587, +0.308710, +0.012211, +0.000000
+1.980730, +1.751679, +1.064971, +0.305404, +0.011382, +0.000000
+1.980454, +1.749286, +1.060431, +0.302270, +0.010670, +0.000000
+1.980179, +1.746910, +1.055881, +0.299047, +0.009897, +0.000000
+1.979904, +1.744552, +1.051383, +0.295931, +0.009197, +0.000000
+1.979628, +1.742203, +1.046974, +0.292844, +0.008444, +0.000000
